"Support","Confidence","Lift","Consequent","implies"
0.0502131691141639,0.7851851851851851,5.580895373487965,"Obesity_Type_II","<---"
0.054950260540028426,0.7435897435897436,5.285245618578951,"Obesity_Type_II","<---"
0.07153008053055424,0.9741935483870967,6.347291915571485,"Obesity_Type_III","<---"
0.07153008053055424,0.9934210526315789,6.472567413905132,"Obesity_Type_III","<---"
0.07153008053055424,1,6.515432098765432,"Obesity_Type_III","<---"
0.07153008053055424,1,6.515432098765432,"Obesity_Type_III","<---"
0.07153008053055424,1,6.515432098765432,"Obesity_Type_III","<---"
0.07153008053055424,1,6.515432098765432,"Obesity_Type_III","<---"
0.07153008053055424,0.9934210526315789,6.472567413905132,"Obesity_Type_III","<---"
0.0720037896731407,0.8685714285714285,5.6591181657848315,"Obesity_Type_III","<---"
0.07626717195641876,0.875,5.701003086419752,"Obesity_Type_III","<---"
0.07674088109900522,0.7714285714285715,5.026190476190476,"Obesity_Type_III","<---"
0.07863571766935101,1,6.515432098765432,"Obesity_Type_III","<---"
0.07910942681193747,0.8520408163265306,5.551414084152179,"Obesity_Type_III","<---"
0.08810990052108006,0.8416289592760181,5.483576336517513,"Obesity_Type_III","<---"
0.0885836096636665,0.7362204724409448,4.796794497909983,"Obesity_Type_III","<---"
0.08953102794883941,0.7078651685393258,4.612047440699126,"Obesity_Type_III","<---"
0.15253434391283752,0.7123893805309734,4.641524636731126,"Obesity_Type_III","<---"
