"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
33,25,334,31,0.515625,0.5689655172413793,0.515625,0.9303621169916435,0.5409836065573771,,
45,20,335,23,0.6617647058823529,0.6923076923076923,0.6617647058823529,0.9436619718309859,0.6766917293233082,,
32,17,341,33,0.49230769230769234,0.6530612244897959,0.49230769230769234,0.952513966480447,0.5614035087719299,,
51,27,330,15,0.7727272727272727,0.6538461538461539,0.7727272727272727,0.9243697478991597,0.7083333333333333,,
47,17,356,3,0.94,0.734375,0.94,0.9544235924932976,0.8245614035087719,,
49,8,356,10,0.8305084745762712,0.8596491228070176,0.8305084745762712,0.978021978021978,0.8448275862068966,,
51,1,371,0,1,0.9807692307692307,1,0.9973118279569892,0.9902912621359222,,
,,,,,,,,,0.7281323877068558,0.6825754164790635
